date,mean,count
2019-01-01,0.05600529595015581,321
2019-01-02,0.07889703448275848,1450
2019-01-03,0.10362179023508122,1106
2019-01-04,0.09233341346153827,832
2019-01-05,0.11830415094339611,530
2019-01-06,0.1377908809891806,647
2019-01-07,0.09588327814569521,1208
2019-01-08,0.08340794491525415,944
2019-01-09,0.0871525531914893,940
2019-01-10,0.08642257683215115,846
2019-01-11,0.07008337182448021,866
2019-01-12,0.08891149425287355,522
2019-01-13,0.11519440154440148,518
2019-01-14,0.10478050955414005,785
2019-01-15,0.05194914215686272,816
2019-01-16,0.07875309218203029,857
2019-01-17,0.11147735148514845,808
2019-01-18,0.05547670475488386,2713
2019-01-19,0.11970112676056319,710
2019-01-20,0.08587088948787056,742
2019-01-21,0.05937949685534588,795
2019-01-22,0.09608126649076501,1137
2019-01-23,0.07729709983268268,1793
2019-01-24,0.06104003103180756,1289
2019-01-25,0.10889763593380605,846
2019-01-26,0.08323919156414754,569
2019-01-27,0.12388631921824082,614
2019-01-28,0.08799857270294364,1121
2019-01-29,0.08905846023688663,1182
2019-01-30,0.06203683420855213,2666
2019-01-31,0.10320580270793028,517
2019-02-01,0.08125857664233557,1096
2019-02-02,0.13885803722504217,591
2019-02-03,0.11408414179104467,536
2019-02-04,0.10916066945606662,1195
2019-02-05,0.08676810598626084,1019
2019-02-06,0.08382679611650473,1030
2019-02-07,0.08857811158798266,932
2019-02-08,0.07815736842105256,950
2019-02-09,0.06893944562899798,469
2019-02-10,0.08815229681978795,566
2019-02-11,0.06732976406533571,1102
2019-02-12,0.0937127639155469,1042
2019-02-13,0.05504469999999988,1000
2019-02-14,0.07044784130688443,857
2019-02-15,0.06291010781671157,742
2019-02-16,0.14398024390243902,410
2019-02-17,0.07184751131221717,442
2019-02-18,0.04638719298245611,570
2019-02-19,0.08286279491833025,1102
2019-02-20,0.0510790915163661,1497
2019-02-21,0.05416562082777021,1498
2019-02-22,0.08345843828715359,794
2019-02-23,0.08420106157112527,471
2019-02-24,0.07711234866828083,413
2019-02-25,-0.030223874598070785,1244
2019-02-26,0.02002057860262011,1832
2019-02-27,0.07991281725888308,1576
2019-02-28,0.07144850998463916,3255
2019-03-01,0.060570230998509555,2684
2019-03-02,0.035026792828685295,1004
2019-03-03,0.04961741140215717,1298
2019-03-04,0.043461818181818226,1925
2019-03-05,0.04093561166739215,2297
2019-03-06,0.053087994891442995,1566
2019-03-07,0.05676946329426285,1621
2019-03-08,0.07174628851540608,1428
2019-03-09,0.07812478005865103,682
2019-03-10,0.04985951293759513,657
2019-03-11,0.07369438122332846,1406
2019-03-12,0.019746691871455578,529
2019-03-13,0.04451437355880089,1301
2019-03-14,0.07092013536379012,1773
2019-03-15,0.06571911703456888,2401
2019-03-16,0.06985019255455707,779
2019-03-17,0.08905287356321835,696
2019-03-18,0.04986301564722606,1406
2019-03-19,0.029959855769230777,1664
2019-03-20,0.08329999999999993,1140
2019-03-21,0.0621111111111111,1377
2019-03-22,0.0457346994535518,1098
2019-03-23,0.046012121212121206,660
2019-03-24,0.0759279792746114,772
2019-03-25,0.033026986211424816,1523
2019-03-26,0.06559854132901126,1234
2019-03-27,0.06409533483822416,1329
2019-03-28,0.09093614248479578,1151
2019-03-29,0.10362273291925467,805
2019-03-30,0.07724355400696863,287
2019-03-31,0.08573079056865462,721
2019-04-01,0.08181371268656706,1072
2019-04-02,0.08172700381679386,1048
2019-04-03,0.06308966682761942,2071
2019-04-04,0.031568105009052466,3314
2019-04-05,0.049454155844155835,1540
2019-04-06,0.06602756756756752,740
2019-04-07,0.08161256613756611,756
2019-04-08,0.07699199149539328,1411
2019-04-09,0.0938357442348007,954
2019-04-10,0.09796309297912696,1054
2019-04-11,0.06018091787439604,1656
2019-04-12,0.0546069279216235,1429
2019-04-13,0.08575161707632595,773
2019-04-14,0.05742235682819379,908
2019-04-15,0.06630809608540916,1124
2019-04-16,0.08484327603640024,989
2019-04-17,0.08770697012802268,703
2019-04-18,0.04671998001998,1001
2019-04-19,0.07964578163771711,806
2019-04-20,0.047408564535584945,829
2019-04-21,0.042040818584070765,904
2019-04-22,0.057386175415715654,3067
2019-04-23,0.0932100420364317,2141
2019-04-24,0.05034079020589885,3594
2019-04-25,0.061459272848565755,2998
2019-04-26,0.05458359456635317,2871
2019-04-27,0.10326181229773447,927
2019-04-28,0.07033308457711435,804
2019-04-29,0.06575900202292642,1483
2019-04-30,0.09379853137516687,749
2019-05-01,0.04674100119189512,1678
2019-05-02,0.067324429065744,2890
2019-05-03,0.08963513371788155,1907
2019-05-04,0.12112011331444754,706
2019-05-05,0.11259710743801651,726
2019-05-06,0.08669154051647376,1123
2019-05-07,0.10533247787610615,1130
2019-05-08,0.11223615160349841,1029
2019-05-09,0.12269428294573635,1032
2019-05-10,0.08761724137931025,1073
2019-05-11,0.11945357967667428,433
2019-05-12,0.17099705882352942,442
2019-05-13,0.05228080645161283,1240
2019-05-14,0.07450010869565207,920
2019-05-15,0.07302942238267139,1108
2019-05-16,0.04564641109298528,1226
2019-05-17,0.05098919529837232,2212
2019-05-18,0.0814977631578947,760
2019-05-19,0.07447302631578959,608
2019-05-20,0.09444198895027613,543
2019-05-21,0.05073899827288424,2895
2019-05-22,0.048717977893367986,3076
2019-05-23,0.05299977441185944,3103
2019-05-24,0.07931629746835438,1896
2019-05-25,0.12117811320754707,795
2019-05-26,0.11790602941176459,680
2019-05-27,0.12192994722955142,758
2019-05-28,0.07467610294117638,1360
2019-05-29,0.0714330223880596,1608
2019-05-30,0.045417297297297266,1295
